Project County,Project City,Gas Utility,Electric Utility,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,size_of_home_flag,Location_1_latitude,Location_1_Longitude,Project Completion Year,Project Completion Month,Project Completion Day,Age of Home
Kings,Brooklyn,National Grid,Consolidated Edison,4113.0,Natural Gas,1960,3116,1,Home Performance,Single Family,Building Shell,1003.0,45.0,6.822197390620491,0,40.683445,-73.948505,2023,1,3,63
Onondaga,Syracuse,National Grid,National Grid,8223.0,Natural Gas,1947,2364,1,Home Performance,Single Family,Building Shell,333.0,22.0,5.641907070938114,0,43.0257179,-76.1480025,2022,12,6,75
Queens,Queens,National Grid,Consolidated Edison,12674.0,Natural Gas,1946,2822,1,Home Performance,Single Family,Building Shell,510.0,76.0,7.156176637480615,0,40.662075,-73.7349,2022,5,12,76
Rockland,Pearl River,Orange & Rockland,Orange & Rockland,536.0,Natural Gas,1986,800,1,Electric Reduction,Single Family,Building Shell,201.0,3.0,4.204692619390966,0,41.0583,-74.01925,2022,9,20,36
Allegany,Friendship,National Fuel Gas Distribution,Rochester Gas & Electric,7508.0,Coal,1931,800,1,Home Performance,Single Family,Building Shell,510.0,66.0,6.738152494595957,0,42.2107053,-78.1354188,2022,2,22,91
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,9935.0,Natural Gas,1936,1312,1,Home Performance,Single Family,Building Shell,163.0,67.0,6.408528791059498,0,43.165635,-77.59645,2022,11,11,86
Rockland,Pomona,Orange & Rockland,Orange & Rockland,11460.0,Natural Gas,1947,2966,1,Home Performance,Single Family,Building Shell,170.0,12.0,5.153291594497779,0,41.1909524,-74.0344298,2023,6,22,76
Herkimer,West Winfield,New York State Electric & Gas,New York State Electric & Gas,6690.0,Oil,1950,1104,1,Home Performance,Single Family,Building Shell,331.0,23.0,6.29156913955832,0,42.88617,-75.189695,2022,8,30,72
Oneida,Whitesboro,National Grid,National Grid,3714.0,Natural Gas,1934,1438,1,Home Performance,Single Family,Building Shell,0.0,13.0,4.9344739331306915,0,43.120445,-75.29465,2022,1,11,88
Queens,Queens,National Grid,Consolidated Edison,13094.0,Natural Gas,1951,2725,1,Home Performance,Single Family,Building Shell,302.0,90.0,7.286191714702382,0,40.692835,-73.75811,2023,1,25,72
Queens,Queens,National Grid,Consolidated Edison,10648.0,Natural Gas,1936,1440,1,Home Performance,Single Family,Building Shell,306.0,65.0,7.05617528410041,0,40.694725,-73.73937,2023,6,22,87
Onondaga,Baldwinsville,National Grid,National Grid,6261.0,Natural Gas,1954,850,1,Home Performance,Single Family,Building Shell,1180.0,18.0,5.834810737062605,0,43.18518,-76.29835,2022,8,16,68
Herkimer,Ilion,National Grid,National Grid,7711.0,Natural Gas,1993,1318,1,Home Performance,Mobile,Building Shell,426.0,16.0,5.420534999272286,0,43.014355,-75.043565,2022,3,31,29
Queens,Queens,National Grid,Consolidated Edison,6587.0,Natural Gas,1952,2394,1,Home Performance,Single Family,Building Shell,703.0,38.0,6.606650186198215,0,40.675365,-73.75155,2022,12,22,70
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,10024.0,Natural Gas,1974,1020,1,Home Performance,Single Family,Building Shell,236.0,33.0,5.746203190540153,0,43.181935,-77.60976,2022,10,27,48
Erie,Getzville,National Fuel Gas Distribution,National Grid,6355.0,Natural Gas,1897,1260,1,Home Performance,Single Family,Building Shell,643.0,21.0,5.583496308781699,0,43.01953,-78.76354,2023,2,16,126
Onondaga,Syracuse,National Grid,National Grid,13852.0,Natural Gas,1908,1996,1,Home Performance,Single Family,Building Shell,809.0,4.0,4.983606621708336,0,43.073475,-76.11265,2022,2,3,114
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,6720.0,Natural Gas,1924,1136,1,Home Performance,Single Family,Building Shell,634.0,31.0,5.817111159963204,0,43.16463,-77.64152,2022,6,14,98
Warren,Queensbury,National Grid,National Grid,10193.0,Propane,2000,1456,1,Home Performance,Mobile,Building Shell,1060.0,31.0,6.74993119378857,0,43.33471,-73.678785,2022,3,29,22
Monroe,Irondequoit,Rochester Gas & Electric,Rochester Gas & Electric,5128.0,Natural Gas,1952,2135,1,Home Performance,Single Family,Building Shell,-282.0,20.0,4.983606621708336,0,43.165865,-77.56504,2023,6,29,71
Monroe,Brighton,Rochester Gas & Electric,Rochester Gas & Electric,8653.0,Natural Gas,1916,1384,1,Home Performance,Single Family,Building Shell,459.0,18.0,5.3230099791384085,0,43.146805,-77.556265,2023,6,20,107
Kings,Brooklyn,National Grid,Consolidated Edison,4347.0,Oil,1931,1200,1,Home Performance,Single Family,Building Shell,0.0,19.0,6.175867270105761,0,40.643205,-73.974915,2022,6,7,91
Kings,Brooklyn,National Grid,Consolidated Edison,6520.0,Natural Gas,1941,1152,1,Home Performance,Single Family,Building Shell,492.0,26.0,6.238324625039508,0,40.660715,-73.915265,2022,9,27,81
Oneida,Clayville,National Grid,National Grid,9634.0,Natural Gas,1928,2050,1,Home Performance,Single Family,Building Shell,1330.0,42.0,6.434546518787453,0,42.97894,-75.24988,2023,6,29,95
Erie,Buffalo,National Fuel Gas Distribution,National Grid,17017.0,Natural Gas,1941,988,1,Home Performance,Single Family,Building Shell,-157.0,52.0,6.156978985585555,0,42.977785,-78.816145,2023,5,23,82
Oneida,Clinton,National Grid,National Grid,8825.0,Oil,1945,4000,1,Home Performance,Single Family,Building Shell,37.0,21.0,6.159095388491933,0,43.04923,-75.38455,2023,2,2,78
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,10542.0,Natural Gas,1943,2048,1,Home Performance,Single Family,Building Shell,259.0,38.0,5.8888779583328805,0,43.165635,-77.59645,2022,1,6,79
Herkimer,Ilion,National Grid,National Grid,9238.0,Electric,1993,980,1,Home Performance,Mobile,Building Shell,584.0,22.0,5.755742213586912,0,43.014355,-75.043565,2023,3,21,30
Erie,Buffalo,National Fuel Gas Distribution,New York State Electric & Gas,3530.0,Natural Gas,1929,1700,1,Home Performance,Single Family,Building Shell,510.0,24.0,5.58724865840025,0,42.8937408,-78.83448,2022,1,11,93
Allegany,Cuba,National Fuel Gas Distribution,National Grid,10994.0,Natural Gas,1932,2088,1,Home Performance,Single Family,Building Shell,510.0,80.0,6.601230118728877,0,42.216495,-78.2749,2022,6,21,90
Tioga,Candor,New York State Electric & Gas,New York State Electric & Gas,6724.0,Oil,1918,2240,1,Home Performance,Single Family,Building Shell,208.0,39.0,6.6240652277998935,0,42.2287615,-76.3389059,2022,9,20,104
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,12793.0,Natural Gas,1944,1720,1,Home Performance,Single Family,Building Shell,1140.0,71.0,6.608000625296087,0,43.181935,-77.60976,2023,1,25,79
Chautauqua,Jamestown,National Fuel Gas Distribution,Municipal,16488.0,Natural Gas,1922,1438,1,Home Performance,Single Family,Building Shell,-130.0,63.0,6.520621127558696,0,42.099115,-79.238355,2023,3,22,101
Erie,Buffalo,National Fuel Gas Distribution,National Grid,11911.0,Natural Gas,1922,2200,1,Home Performance,Single Family,Building Shell,510.0,120.0,7.003065458786462,0,42.90832,-78.83677,2022,4,12,100
Seneca,Lodi,New York State Electric & Gas,New York State Electric & Gas,7010.0,Propane,2001,1456,1,Home Performance,Mobile,Building Shell,0.0,14.0,6.052089168924417,0,42.6133442,-76.8250784,2022,11,8,21
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,8071.0,Natural Gas,1943,903,1,Home Performance,Single Family,Building Shell,1271.0,76.0,6.675823221634848,0,43.165635,-77.59645,2023,1,3,80
Onondaga,Syracuse,National Grid,National Grid,12493.0,Natural Gas,1908,2132,1,Home Performance,Single Family,Building Shell,-190.0,53.0,6.326149473155099,0,43.056515,-76.14007,2023,5,4,115
Kings,Brooklyn,National Grid,Consolidated Edison,5598.0,Natural Gas,1951,2520,1,Home Performance,Single Family,Building Shell,791.0,14.0,5.955837369464831,0,40.644345,-73.905535,2023,1,10,72
Wayne,Marion,Rochester Gas & Electric,Rochester Gas & Electric,10467.0,Propane,1908,1380,1,Home Performance,Single Family,Building Shell,270.0,30.0,6.827629234502852,0,43.14476,-77.18748,2022,8,9,114
Wayne,Clyde,New York State Electric & Gas,New York State Electric & Gas,5503.0,Natural Gas,1966,1431,1,Home Performance,Single Family,Building Shell,-545.0,21.0,4.969813299576001,0,43.084355,-76.87006,2023,1,31,57
Wyoming,Perry,Rochester Gas & Electric,New York State Electric & Gas,8473.0,Natural Gas,1934,1974,1,Home Performance,Single Family,Building Shell,428.0,48.0,6.163314804034641,0,42.71946,-78.00098,2023,3,14,89
Oneida,Utica,National Grid,National Grid,5077.0,Natural Gas,1953,1020,1,Home Performance,Single Family,Building Shell,939.0,18.0,5.771441123130016,0,43.1010822,-75.2472726,2022,6,9,69
Ontario,Shortsville,New York State Electric & Gas,Rochester Gas & Electric,15978.0,Natural Gas,1977,800,1,Home Performance,Mobile,Building Shell,-7160.0,85.0,4.890349128221754,0,42.95523,-77.22575,2023,4,6,46
Erie,Buffalo,National Fuel Gas Distribution,National Grid,7681.0,Natural Gas,1944,1496,1,Home Performance,Single Family,Building Shell,395.0,28.0,5.68697535633982,0,42.945525,-78.887125,2023,6,6,79
Erie,Buffalo,National Fuel Gas Distribution,National Grid,9127.0,Natural Gas,1931,1155,1,Home Performance,Single Family,Building Shell,-531.0,27.0,5.123963979403259,0,42.945525,-78.887125,2022,6,16,91
Broome,Binghamton,New York State Electric & Gas,New York State Electric & Gas,7533.0,Natural Gas,1982,800,1,Home Performance,Mobile,Building Shell,611.0,22.0,5.796057750765372,0,42.1013048,-75.9083125,2023,6,27,41
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,10695.0,Natural Gas,1932,1898,1,Home Performance,Single Family,Building Shell,510.0,64.0,6.424869023905388,0,43.25403,-77.613775,2022,4,5,90
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,8853.0,Natural Gas,1947,1232,1,Home Performance,Single Family,Building Shell,377.0,50.0,6.161207321695077,0,43.25403,-77.613775,2023,3,28,76
Kings,Brooklyn,National Grid,Consolidated Edison,4279.0,Natural Gas,1938,1954,1,Home Performance,Single Family,Building Shell,1023.0,37.0,6.677083461247136,0,40.602305,-73.94562,2022,2,22,84
Oneida,Utica,National Grid,National Grid,11184.0,Natural Gas,1924,2484,2,Home Performance,Single Family,Building Shell,701.0,68.0,6.725033642166843,0,43.09528,-75.22754,2022,5,20,98
Wyoming,Silver Lake,Rochester Gas & Electric,New York State Electric & Gas,4066.0,Natural Gas,1959,1458,1,Home Performance,Single Family,Building Shell,0.0,21.0,5.220355825078324,0,42.700855243,-78.02293394,2022,1,20,63
Chenango,Afton,New York State Electric & Gas,New York State Electric & Gas,12257.0,Oil,1892,2320,1,Home Performance,Single Family,Building Shell,1042.0,66.0,4.8283137373023015,0,42.22794,-75.52634,2022,7,28,130
Erie,Buffalo,National Grid,National Grid,14190.0,Natural Gas,1936,1100,1,Home Performance,Single Family,Building Shell,-129.0,132.0,7.020190708311925,0,42.951555,-78.86765,2023,5,16,87
Onondaga,Syracuse,National Grid,National Grid,20048.0,Natural Gas,1963,1740,1,Home Performance,Single Family,Building Shell,374.0,139.0,7.352441100243583,0,43.0650476,-76.1505831,2022,11,22,59
Erie,Tonawanda,National Fuel Gas Distribution,National Grid,3403.0,Natural Gas,1931,1742,1,Home Performance,Single Family,Building Shell,0.0,23.0,5.298317366548036,0,43.013815,-78.8776,2022,5,17,91
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,4465.0,Natural Gas,1954,1900,1,Home Performance,Single Family,Building Shell,332.0,15.0,5.111987788356544,0,43.22041,-77.64325,2023,1,3,69
Kings,Brooklyn,National Grid,Consolidated Edison,12137.0,Natural Gas,1950,3191,1,Home Performance,Single Family,Building Shell,1776.0,45.0,6.984716320118266,0,40.644345,-73.905535,2023,5,2,73
Monroe,Webster,Rochester Gas & Electric,Rochester Gas & Electric,10466.0,Natural Gas,1938,1134,1,Home Performance,Single Family,Building Shell,-549.0,37.0,5.60947179518496,0,43.2141056,-77.4345478,2023,3,7,85
Hamilton,Wells,National Grid,National Grid,11399.0,Oil,1957,1424,1,Home Performance,Single Family,Building Shell,396.0,31.0,6.647688373563329,0,43.4037869,-74.2858446,2023,5,23,66
Wayne,Marion,Rochester Gas & Electric,Rochester Gas & Electric,10559.0,Oil,1928,1344,1,Home Performance,Single Family,Building Shell,325.0,62.0,7.273092595999522,0,43.14476,-77.18748,2022,4,21,94
Erie,Buffalo,National Fuel Gas Distribution,National Grid,10659.0,Natural Gas,1901,1400,1,Home Performance,Single Family,Building Shell,48.0,58.0,6.329720905522696,0,42.945525,-78.887125,2023,5,2,122
Erie,Tonawanda,National Fuel Gas Distribution,National Grid,7485.0,Natural Gas,1934,1620,1,Home Performance,Single Family,Building Shell,510.0,46.0,6.129050210060545,0,43.013815,-78.8776,2022,1,18,88
Erie,Buffalo,National Fuel Gas Distribution,National Grid,9913.0,Natural Gas,1952,1680,1,Home Performance,Single Family,Building Shell,741.0,73.0,6.587550014824796,0,42.945525,-78.887125,2022,9,13,70
Chautauqua,Jamestown,National Fuel Gas Distribution,Municipal,7295.0,Natural Gas,1945,1122,1,Home Performance,Single Family,Building Shell,32.0,35.0,5.723585101952381,0,42.099115,-79.238355,2022,8,2,77
Wayne,Red Creek,Rochester Gas & Electric,Rochester Gas & Electric,2523.0,Oil,1980,800,1,Home Performance,Mobile,Building Shell,854.0,2.0,4.919980925828125,0,43.2455012,-76.725241,2022,7,14,42
Oswego,Parish,National Grid,National Grid,6312.0,Natural Gas,1909,2448,1,Home Performance,Single Family,Building Shell,510.0,26.0,5.860786223465865,0,43.405285,-76.121125,2022,4,21,113
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,10682.0,Natural Gas,1940,1770,1,Home Performance,Single Family,Building Shell,276.0,72.0,6.489204931325317,0,43.22041,-77.64325,2022,9,20,82
Monroe,Irondequoit,Rochester Gas & Electric,Rochester Gas & Electric,13357.0,Natural Gas,1938,1100,1,Home Performance,Single Family,Building Shell,-600.0,85.0,6.536691597591305,0,43.165865,-77.56504,2022,11,17,84
Montgomery,Esperance,National Grid,National Grid,7088.0,Propane,1912,2160,1,Home Performance,Single Family,Building Shell,4199.0,8.0,6.665683717782408,0,42.7492679,-74.2628791,2023,4,13,111
Oneida,Taberg,National Grid,National Grid,5765.0,Kerosene,1978,1080,1,Home Performance,Mobile,Building Shell,277.0,13.0,5.910796644040527,0,43.29767,-75.61509,2022,3,17,44
Wayne,Williamson,Rochester Gas & Electric,Rochester Gas & Electric,8164.0,Natural Gas,1954,2534,1,Home Performance,Single Family,Building Shell,1049.0,26.0,5.802118375377063,0,43.227735,-77.18993,2022,6,28,68
Tioga,Willseyville,New York State Electric & Gas,New York State Electric & Gas,6371.0,Propane,2006,1088,1,Home Performance,Mobile,Building Shell,0.0,17.0,6.182084906716632,0,42.2921298,-76.3791669,2022,2,16,16
Richmond,Staten Island,National Grid,Consolidated Edison,6130.0,Natural Gas,1965,1611,1,Home Performance,Single Family,Building Shell,528.0,39.0,6.656726524178391,0,40.57107,-74.116235,2023,6,15,58
Saratoga,Corinth,National Grid,National Grid,14721.0,Kerosene,1989,1480,1,Home Performance,Single Family,Building Shell,5095.0,42.0,7.351799869057777,0,43.2417323,-73.8343632,2023,3,22,34
Ontario,Geneva,New York State Electric & Gas,New York State Electric & Gas,2007.0,Natural Gas,1962,1188,1,Home Performance,Single Family,Building Shell,301.0,7.0,4.532599493153256,0,42.87351,-76.983615,2022,6,14,60
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,12183.0,Natural Gas,1922,1354,1,Home Performance,Single Family,Building Shell,216.0,26.0,5.517452896464707,0,43.21119,-77.696605,2022,11,17,100
Orange,Monroe,Orange & Rockland,Orange & Rockland,502.0,Natural Gas,1994,1800,1,Electric Reduction,Single Family,Building Shell,201.0,3.0,4.3694478524670215,0,41.33131,-74.188885,2023,6,27,29
Kings,Brooklyn,National Grid,Central Hudson Gas & Electric,7408.0,Natural Gas,1928,1177,1,Home Performance,Single Family,Building Shell,107.0,49.0,6.656726524178391,0,40.65926,-73.88949,2022,8,9,94
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,5631.0,Natural Gas,1933,1296,1,Home Performance,Single Family,Building Shell,0.0,11.0,4.442651256490317,0,43.16463,-77.64152,2023,3,9,90
Monroe,Hilton,Rochester Gas & Electric,Rochester Gas & Electric,3521.0,Natural Gas,1941,2192,1,Home Performance,Single Family,Building Shell,0.0,15.0,4.859812404361672,0,43.289475,-77.78763,2022,3,8,81
Kings,Brooklyn,National Grid,Consolidated Edison,8003.0,Natural Gas,1916,2520,2,Home Performance,Single Family,Building Shell,354.0,57.0,6.870053411798126,0,40.64804,-73.88187,2023,1,25,107
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,9913.0,Natural Gas,1964,1084,1,Home Performance,Single Family,Building Shell,162.0,46.0,6.129050210060545,0,43.22041,-77.64325,2023,5,2,59
Ontario,Canandaigua,New York State Electric & Gas,New York State Electric & Gas,13405.0,Natural Gas,1942,1228,1,Home Performance,Single Family,Building Shell,360.0,26.0,5.720311776607412,0,42.885965,-77.27875,2023,4,6,81
New York,New York,Consolidated Edison,Consolidated Edison,614.0,Other,1974,800,1,Electric Reduction,Single Family,Building Shell,757.0,0.0,5.153291594497779,0,40.82553,-73.938495,2023,6,20,49
Kings,Brooklyn,National Grid,Consolidated Edison,9975.0,Oil,1921,1426,1,Home Performance,Single Family,Building Shell,890.0,48.0,7.02197642307216,0,40.650265,-73.927795,2022,2,1,101
Monroe,Penfield,Rochester Gas & Electric,Rochester Gas & Electric,1144.0,Natural Gas,1941,1075,1,Home Performance,Single Family,Building Shell,204.0,3.0,3.8501476017100584,0,43.125315,-77.455175,2022,6,30,81
Schuyler,Watkins Glen,New York State Electric & Gas,New York State Electric & Gas,9258.0,Propane,1988,1560,1,Home Performance,Mobile,Building Shell,505.0,32.0,6.940222469119639,0,42.378765,-76.87248,2022,9,20,34
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,4320.0,Natural Gas,1970,1570,1,Home Performance,Single Family,Building Shell,397.0,13.0,5.0369526024136295,0,43.20713,-77.600505,2023,1,25,53
Onondaga,Syracuse,National Grid,National Grid,13611.0,Natural Gas,1942,1346,1,Home Performance,Single Family,Building Shell,292.0,41.0,6.182084906716632,0,43.0257179,-76.1480025,2023,3,28,81
Erie,Orchard Park,National Fuel Gas Distribution,New York State Electric & Gas,5561.0,Natural Gas,1958,1008,1,Home Performance,Single Family,Building Shell,63.0,29.0,5.54907608489522,0,42.766185,-78.748205,2023,1,27,65
Tompkins,Ithaca,New York State Electric & Gas,New York State Electric & Gas,5165.0,Oil,1885,1794,1,Home Performance,Single Family,Building Shell,132.0,11.0,5.44673737166631,0,42.444575,-76.5001,2022,6,9,137
Monroe,Brockport,Rochester Gas & Electric,Rochester Gas & Electric,5603.0,Natural Gas,1895,4000,1,Home Performance,Single Family,Building Shell,510.0,14.0,5.176149732573829,0,43.214665,-77.940015,2022,10,4,127
Queens,Queens,National Grid,Consolidated Edison,12428.0,Natural Gas,1937,1700,1,Home Performance,Single Family,Building Shell,246.0,65.0,6.962243464266207,0,40.675365,-73.75155,2022,5,26,85
Bronx,The Bronx,Consolidated Edison,Consolidated Edison,8242.0,Natural Gas,1957,1888,1,Home Performance,Single Family,Building Shell,239.0,29.0,6.251903883165888,0,40.892595,-73.85024,2022,12,6,65
Chenango,Norwich,New York State Electric & Gas,New York State Electric & Gas,5389.0,Natural Gas,1940,1680,1,Home Performance,Single Family,Building Shell,0.0,36.0,5.8888779583328805,0,42.5311852,-75.521324,2022,7,5,82
Oneida,Utica,National Grid,National Grid,3758.0,Natural Gas,1978,1344,1,Home Performance,Single Family,Building Shell,363.0,15.0,5.356586274672012,0,43.1010822,-75.2472726,2023,4,25,45
Otsego,Oneonta,New York State Electric & Gas,New York State Electric & Gas,7180.0,Propane,1915,1845,1,Home Performance,Single Family,Building Shell,185.0,21.0,6.522092798170152,0,42.45785,-75.061825,2023,6,13,108
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,7003.0,Natural Gas,1939,1428,1,Home Performance,Single Family,Building Shell,-426.0,35.0,5.6131281063880705,0,43.1094664,-77.7448848,2023,6,29,84
Erie,Angola,National Fuel Gas Distribution,National Grid,13002.0,Propane,1909,1500,1,Home Performance,Single Family,Building Shell,332.0,88.0,7.897668150726906,0,42.6206618,-79.0914797,2022,12,8,113
Oneida,Clinton,National Grid,National Grid,16919.0,Natural Gas,1929,1950,1,Home Performance,Single Family,Building Shell,1302.0,88.0,7.023758954738443,0,43.04923,-75.38455,2022,12,8,93
Wayne,Clyde,New York State Electric & Gas,New York State Electric & Gas,28741.0,Natural Gas,1897,2168,1,Home Performance,Single Family,Building Shell,-4625.0,96.0,5.84354441703136,0,43.084355,-76.87006,2023,6,15,126
Jefferson,Carthage,National Grid,National Grid,11397.0,Oil,1893,2003,1,Home Performance,Single Family,Building Shell,1021.0,30.0,6.699500340161678,0,43.9800463,-75.6114334,2023,3,14,130
Broome,Binghamton,New York State Electric & Gas,New York State Electric & Gas,11751.0,Oil,1931,1575,1,Home Performance,Single Family,Building Shell,530.0,64.0,7.228388451573604,0,42.10765,-75.937145,2022,9,15,91
Niagara,Lockport,New York State Electric & Gas,New York State Electric & Gas,2056.0,Natural Gas,1958,2342,1,Home Performance,Single Family,Building Shell,99.0,20.0,5.459585514144159,0,43.16942,-78.69168,2023,4,11,65
Monroe,Irondequoit,Rochester Gas & Electric,Rochester Gas & Electric,7847.0,Natural Gas,1926,1690,1,Electric Reduction,Single Family,Building Shell,554.0,25.0,5.616771097666572,0,43.20713,-77.600505,2022,7,26,96
Tompkins,Lansing,New York State Electric & Gas,New York State Electric & Gas,23881.0,Propane,1950,1100,1,Home Performance,Single Family,Building Shell,3399.0,29.0,6.008813185442595,0,42.5355856,-76.4983209,2022,1,20,72
Onondaga,Syracuse,National Grid,National Grid,9055.0,Natural Gas,1963,936,1,Home Performance,Single Family,Building Shell,298.0,44.0,6.192362489474872,0,43.0257179,-76.1480025,2023,6,8,60
Livingston,Conesus,New York State Electric & Gas,National Grid,3577.0,Natural Gas,1924,920,1,Home Performance,Single Family,Building Shell,25.0,13.0,4.941642422609304,0,42.7218494,-77.6728114,2023,5,23,99
Rensselaer,Cropseyville,National Grid,National Grid,7350.0,Oil,1928,1519,1,Home Performance,Single Family,Building Shell,313.0,15.0,5.918893854273146,0,42.7701912,-73.4442573,2023,3,21,95
Onondaga,Syracuse,National Grid,National Grid,3057.0,Natural Gas,1947,1400,1,Home Performance,Single Family,Building Shell,323.0,14.0,5.262690188904886,0,43.05118,-76.166155,2023,6,22,76
Onondaga,Cicero,National Grid,National Grid,13047.0,Natural Gas,1934,1700,1,Home Performance,Single Family,Building Shell,419.0,38.0,6.144185634125646,0,43.176765,-76.08996,2023,3,7,89
Broome,Johnson City,New York State Electric & Gas,New York State Electric & Gas,12360.0,Natural Gas,1953,1100,1,Home Performance,Single Family,Building Shell,39.0,42.0,6.035481432524756,0,42.1153014,-75.9545946,2023,4,6,70
Westchester,Montrose,Consolidated Edison,Consolidated Edison,8303.0,Oil,1970,2800,1,Home Performance,Single Family,Heating and Cooling,26.0,35.0,6.733401891837359,0,41.2479195,-73.9364665,2023,2,16,53
Herkimer,Poland,National Grid,National Grid,6970.0,Oil,1941,1300,1,Home Performance,Single Family,Building Shell,475.0,18.0,5.8998973535824915,0,43.15915,-75.09186,2022,2,3,81
Kings,Brooklyn,National Grid,Consolidated Edison,8510.0,Natural Gas,1943,1680,2,Home Performance,Single Family,Heating and Cooling,581.0,49.0,6.785587645007929,0,40.650265,-73.927795,2022,11,8,79
Niagara,Lockport,New York State Electric & Gas,New York State Electric & Gas,14148.0,Natural Gas,1938,1824,1,Home Performance,Single Family,Building Shell,389.0,62.0,6.4967749901858625,0,43.16942,-78.69168,2023,5,2,85
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,10901.0,Natural Gas,1929,1494,1,Home Performance,Single Family,Building Shell,320.0,18.0,5.247024072160486,0,43.1094664,-77.7448848,2022,12,22,93
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,5720.0,Natural Gas,1933,1476,1,Home Performance,Single Family,Building Shell,386.0,37.0,5.905361848054571,0,43.1094664,-77.7448848,2022,8,16,89
Broome,Binghamton,New York State Electric & Gas,New York State Electric & Gas,11226.0,Natural Gas,1926,1344,1,Home Performance,Single Family,Building Shell,368.0,39.0,6.073044534100405,0,42.1013048,-75.9083125,2022,10,27,96
Erie,Lackawanna,National Fuel Gas Distribution,National Grid,9918.0,Natural Gas,1951,2050,1,Home Performance,Single Family,Building Shell,87.0,72.0,6.453624998892692,0,42.820488763,-78.823528026,2023,3,23,72
Onondaga,Syracuse,National Grid,National Grid,15582.0,Natural Gas,1910,1980,1,Home Performance,Single Family,Building Shell,922.0,63.0,6.6895992691789665,0,43.0200289,-76.1626311,2023,5,2,113
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,5155.0,Natural Gas,1939,1245,1,Home Performance,Single Family,Building Shell,0.0,25.0,5.389071729816501,0,43.1983016,-77.6344761,2022,10,11,83
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,8392.0,Natural Gas,1942,998,1,Home Performance,Single Family,Building Shell,368.0,17.0,5.25227342804663,0,43.22041,-77.64325,2022,12,13,80
Wayne,Lyons,New York State Electric & Gas,New York State Electric & Gas,4616.0,Natural Gas,1957,840,1,Home Performance,Single Family,Building Shell,0.0,23.0,5.44673737166631,0,43.064965,-76.99033,2022,5,12,65
Rockland,Stony Point,Orange & Rockland,Orange & Rockland,6592.0,Natural Gas,1959,2800,1,Home Performance,Single Family,Building Shell,443.0,52.0,6.548219102762372,0,41.22346,-73.9897,2022,2,24,63
Broome,Vestal,New York State Electric & Gas,New York State Electric & Gas,18732.0,Natural Gas,1968,4000,1,Home Performance,Mobile,Building Shell,-6111.0,87.0,4.875197323201151,0,42.089923,-76.0047944,2023,1,17,55
Onondaga,Marcellus,New York State Electric & Gas,New York State Electric & Gas,7624.0,Oil,1955,1440,1,Home Performance,Single Family,Building Shell,839.0,26.0,6.519147287940395,0,42.9817,-76.3405,2023,4,6,68
Monroe,Rochester,Rochester Gas & Electric,Rochester Gas & Electric,14862.0,Natural Gas,1941,1976,1,Home Performance,Single Family,Building Shell,285.0,98.0,6.79346613258001,0,43.13596,-77.64898,2023,2,21,82
Oswego,Oswego,National Grid,National Grid,743.0,Natural Gas,1932,1260,1,Electric Reduction,Single Family,Building Shell,385.0,1.0,4.174387269895637,0,43.457085,-76.499485,2022,12,22,90
Chemung,Elmira,New York State Electric & Gas,New York State Electric & Gas,8708.0,Natural Gas,1944,2100,1,Home Performance,Single Family,Building Shell,406.0,43.0,6.154858094016418,0,42.083155,-76.8393,2023,4,18,79
Oswego,Oswego,National Grid,National Grid,11236.0,Oil,1925,2058,1,Home Performance,Single Family,Building Shell,943.0,46.0,7.202661196523238,0,43.457085,-76.499485,2023,4,25,98
Westchester,Mt Vernon,Consolidated Edison,Consolidated Edison,12907.0,Natural Gas,1932,2580,1,Home Performance,Single Family,Building Shell,828.0,52.0,6.811244378601294,0,40.91064,-73.837705,2022,4,21,90
Kings,Brooklyn,National Grid,Consolidated Edison,5625.0,Natural Gas,1967,2120,2,Home Performance,Single Family,Building Shell,878.0,45.0,6.78105762593618,0,40.643205,-73.974915,2022,4,5,55
