Total Project Cost,Size Of Home,size_of_home_flag,Number Of Units,Location_1_latitude,Location_1_Longitude,Project Completion Date,Job Type,Type Of Dwelling,Pre-Retrofit Home Heating Fuel Type,Year Home Built
6389.0,864,0,1,43.090764,-78.96109,2022-12-22,Home Performance,Single Family,Natural Gas,
883.0,1088,0,1,42.976665,-77.987555,2023-03-09,Home Performance,Single Family,Natural Gas,
5389.0,814,0,1,43.120445,-75.29465,2023-06-01,Home Performance,Single Family,Natural Gas,
12857.0,1023,0,1,43.181935,-77.60976,2023-05-25,Home Performance,Single Family,Natural Gas,
10000.0,1120,0,1,42.884806082,-78.750933104,2022-04-05,Home Performance,Single Family,Natural Gas,
2650.0,1050,0,1,42.6206618,-79.0914797,2023-03-09,Home Performance,Single Family,Natural Gas,
11424.0,1656,0,1,43.033565,-75.068965,2023-03-07,Home Performance,Single Family,Natural Gas,
5944.0,1456,0,1,43.25403,-77.613775,2023-06-08,Home Performance,Single Family,Natural Gas,
8442.0,2264,0,1,42.110115,-76.032545,2022-11-08,Home Performance,Single Family,Natural Gas,
7514.0,2300,0,1,43.1010822,-75.2472726,2023-05-02,Home Performance,Single Family,Natural Gas,
7280.0,1930,0,1,40.76331,-73.778385,2023-01-25,Home Performance,Single Family,Natural Gas,
6304.0,950,0,1,43.120445,-75.29465,2022-03-01,Home Performance,Single Family,Natural Gas,
4972.0,2760,0,3,40.640195,-74.01736,2022-05-12,Home Performance,Single Family,Natural Gas,
10329.0,1804,0,1,43.13596,-77.64898,2022-11-08,Home Performance,Single Family,Natural Gas,
8409.0,2070,0,1,41.93112,-74.002205,2022-12-06,Home Performance,Single Family,Natural Gas,
8359.0,1030,0,1,42.110115,-76.032545,2023-05-04,Home Performance,Single Family,Natural Gas,
2466.0,1764,0,1,42.9797911,-78.8560887,2022-07-12,Home Performance,Single Family,Natural Gas,
5684.0,1254,0,1,43.13375,-75.58285,2022-04-05,Home Performance,Single Family,Natural Gas,
10803.0,1036,0,1,42.2844594,-77.2163307,2023-02-23,Home Performance,Mobile,Natural Gas,
6014.0,1568,0,1,40.665955,-73.77108,2022-07-05,Home Performance,Single Family,Natural Gas,
9763.0,1916,0,1,42.9797911,-78.8560887,2023-04-13,Home Performance,Single Family,Natural Gas,
4465.0,1536,0,1,42.820135,-78.82654,2022-10-04,Home Performance,Single Family,Natural Gas,
6799.0,1620,0,1,42.080465,-78.433915,2023-04-06,Home Performance,Single Family,Natural Gas,
9885.0,2298,0,1,40.665955,-73.77108,2022-04-12,Home Performance,Single Family,Natural Gas,
10315.0,1840,0,1,42.67892,-73.737,2023-05-25,Home Performance,Single Family,Natural Gas,
895.0,1344,0,1,42.099115,-79.238355,2022-12-20,Home Performance,Single Family,Natural Gas,
7253.0,1861,0,1,43.2141056,-77.4345478,2022-03-24,Home Performance,Single Family,Natural Gas,
7191.0,1120,0,1,43.2885292,-77.9161451,2023-05-26,Home Performance,Single Family,Natural Gas,
10133.0,1690,0,1,42.09461,-76.804665,2023-04-06,Home Performance,Single Family,Natural Gas,
9295.0,1974,0,1,42.110115,-76.032545,2023-05-10,Home Performance,Single Family,Natural Gas,
9077.0,2640,0,1,40.68532,-73.8514,2022-12-08,Home Performance,Single Family,Oil,
9419.0,1120,0,1,42.1850916,-76.667975,2022-04-27,Home Performance,Mobile,Propane,
8918.0,920,0,1,42.120305,-79.20028,2022-12-01,Home Performance,Mobile,Natural Gas,
18960.0,1344,0,1,43.165865,-77.56504,2023-06-13,Home Performance,Single Family,Natural Gas,
2228.0,1480,0,1,43.25403,-77.613775,2023-01-25,Home Performance,Single Family,Natural Gas,
4813.0,2304,0,1,43.09528,-75.22754,2022-03-18,Home Performance,Single Family,Natural Gas,
7189.0,1520,0,1,40.644345,-73.905535,2022-01-06,Home Performance,Single Family,Natural Gas,
8566.0,1824,0,1,43.003055,-75.98119,2022-03-18,Home Performance,Single Family,Oil,
5401.0,2220,0,1,40.882775,-73.90477,2022-04-12,Home Performance,Single Family,Natural Gas,1962
7922.0,1104,0,1,40.700525,-73.90017,2022-12-13,Home Performance,Single Family,Natural Gas,
586.0,980,0,1,43.165865,-77.56504,2022-01-18,Home Performance,Single Family,Natural Gas,
6747.0,910,0,1,42.6867323,-75.7302451,2023-03-28,Home Performance,Mobile,Propane,
8169.0,1768,0,1,42.089923,-76.0047944,2022-02-03,Home Performance,Single Family,Electric,1957
17402.0,1680,0,1,43.325035,-76.41174,2023-01-17,Home Performance,Mobile,Propane,
4956.0,1020,0,1,40.660715,-73.915265,2022-01-25,Home Performance,Single Family,Natural Gas,
5439.0,1300,0,1,42.9355,-76.56687,2022-07-12,Home Performance,Single Family,Oil,
9261.0,3283,0,1,43.033565,-75.068965,2023-03-31,Home Performance,Single Family,Oil,
7038.0,3424,0,2,43.0246135,-75.268584,2023-05-23,Home Performance,Single Family,Natural Gas,
3475.0,904,0,1,42.71018,-76.42126,2022-02-03,Home Performance,Mobile,Propane,1983
4637.0,1352,0,1,42.9355,-76.56687,2023-03-09,Home Performance,Single Family,Natural Gas,
2842.0,2432,0,1,43.33009,-78.55375,2022-09-15,Home Performance,Single Family,Natural Gas,
8149.0,1152,0,1,42.90153,-78.693005,2023-06-01,Home Performance,Single Family,Natural Gas,
6254.0,1344,0,1,43.146805,-77.556265,2022-05-12,Home Performance,Single Family,Natural Gas,
12260.0,908,0,1,42.1850916,-76.667975,2022-10-18,Home Performance,Mobile,Natural Gas,
14056.0,1440,0,1,42.93241,-78.80886,2022-06-30,Home Performance,Single Family,Natural Gas,
18859.0,1829,0,1,40.801335,-72.86778,2023-05-23,Home Performance,Single Family,Oil,
12221.0,2292,0,1,43.21119,-77.696605,2022-01-27,Home Performance,Single Family,Natural Gas,
4169.0,1426,0,1,40.675365,-73.75155,2022-06-03,Home Performance,Single Family,Natural Gas,
15826.0,3200,0,1,43.17353,-73.327715,2022-03-03,Home Performance,Single Family,Oil,1971
17490.0,1308,0,1,43.181935,-77.60976,2023-05-16,Home Performance,Single Family,Natural Gas,
559.0,4000,0,1,43.13596,-77.64898,2023-02-02,Electric Reduction,Single Family,Natural Gas,
10451.0,980,0,1,43.1635353,-76.1433636,2023-03-09,Home Performance,Single Family,Natural Gas,
8409.0,2080,0,1,42.0556941,-79.1591019,2022-06-28,Home Performance,Single Family,Kerosene,
10913.0,1305,0,1,40.61463,-73.923985,2022-12-06,Home Performance,Single Family,Natural Gas,
9954.0,1036,0,1,43.2702767,-73.5839133,2023-04-11,Home Performance,Single Family,Natural Gas,
14155.0,1068,0,1,42.95523,-77.22575,2023-05-30,Home Performance,Mobile,Propane,
1803.0,800,0,1,42.977785,-78.816145,2022-05-12,Home Performance,Single Family,Natural Gas,
10685.0,1236,0,1,43.259840831,-76.241118225,2023-01-25,Home Performance,Single Family,Natural Gas,
19628.0,2128,0,2,42.12311,-77.94936,2022-10-13,Home Performance,Single Family,Natural Gas,
9998.0,1456,0,1,43.006105,-73.851605,2022-04-12,Home Performance,Mobile,Propane,
8124.0,806,0,1,42.808975,-75.252735,2023-03-14,Home Performance,Mobile,Kerosene,
3372.0,2896,0,1,42.9174001,-78.852226,2023-02-14,Home Performance,Single Family,Natural Gas,
3958.0,1330,0,1,44.69457,-75.48625,2023-06-20,Home Performance,Mobile,Propane,
4804.0,1092,0,1,44.00736,-76.044555,2022-06-07,Home Performance,Single Family,Natural Gas,
9967.0,2400,0,2,42.6169324,-73.7295697,2023-01-05,Home Performance,Single Family,Natural Gas,
1380.0,3040,0,1,40.892595,-73.85024,2023-04-11,Home Performance,Single Family,Natural Gas,
5486.0,1890,0,1,42.838995,-73.743245,2022-01-25,Home Performance,Single Family,Natural Gas,1968
6829.0,1870,0,1,40.626385,-73.942945,2023-03-21,Home Performance,Single Family,Natural Gas,
7240.0,1104,0,1,43.2141056,-77.4345478,2022-10-25,Home Performance,Single Family,Natural Gas,
4280.0,2329,0,1,42.9152,-78.89393,2023-02-14,Home Performance,Single Family,Natural Gas,
6771.0,2527,0,1,42.71018,-76.42126,2022-06-21,Home Performance,Single Family,Oil,
13070.0,2976,0,1,42.8477968,-75.388239,2022-03-22,Home Performance,Single Family,Wood,
10873.0,1767,0,1,43.302289,-75.5188154,2022-11-29,Home Performance,Single Family,Oil,
15247.0,1588,0,1,42.885965,-77.27875,2023-03-07,Home Performance,Single Family,Propane,
5352.0,1130,0,1,42.9355,-76.56687,2022-01-04,Home Performance,Single Family,Natural Gas,1954
4112.0,1693,0,1,43.13596,-77.64898,2023-01-31,Home Performance,Single Family,Natural Gas,
7834.0,1470,0,1,42.5418885,-75.9017453,2022-03-08,Home Performance,Single Family,Coal,
1616.0,800,0,1,40.6636308,-73.95541,2023-05-04,Electric Reduction,Single Family,Natural Gas,
17278.0,1222,0,1,43.0884549,-75.9840646,2022-05-24,Home Performance,Single Family,Oil,1949
1130.0,1536,0,1,42.90832,-78.83677,2022-01-13,Home Performance,Single Family,Natural Gas,1922
6442.0,1626,0,1,43.033565,-75.068965,2022-02-22,Home Performance,Single Family,Natural Gas,
6187.0,1668,0,1,43.1635353,-76.1433636,2023-04-11,Home Performance,Single Family,Natural Gas,
7821.0,1823,0,1,42.9013852,-76.8627782,2023-02-21,Home Performance,Single Family,Natural Gas,
8523.0,2520,0,1,43.15242,-77.6379,2023-06-08,Home Performance,Single Family,Natural Gas,
6846.0,2783,0,3,40.73768,-73.881095,2023-02-23,Home Performance,Single Family,Oil,
6709.0,960,0,1,41.4710994,-74.0212876,2022-07-07,Home Performance,Mobile,Propane,
8768.0,1272,0,1,43.181935,-77.60976,2023-05-30,Home Performance,Single Family,Natural Gas,
4229.0,1700,0,1,43.09528,-75.22754,2022-07-07,Home Performance,Single Family,Natural Gas,
4093.0,2338,0,1,42.020003,-76.3699284,2023-01-25,Home Performance,Single Family,Pellets,
2810.0,1885,0,1,43.09528,-75.22754,2022-07-07,Home Performance,Single Family,Natural Gas,1932
7846.0,1728,0,1,43.1983016,-77.6344761,2022-12-27,Home Performance,Single Family,Natural Gas,
9993.0,1290,0,1,42.110115,-76.032545,2022-02-01,Home Performance,Single Family,Natural Gas,
10014.0,2036,0,1,41.33131,-74.188885,2022-08-18,Home Performance,Single Family,Natural Gas,
646.0,1752,0,1,42.63652,-76.184135,2023-06-22,Home Performance,Single Family,Natural Gas,
9199.0,1144,0,1,42.925373996,-78.755966516,2023-03-21,Home Performance,Single Family,Natural Gas,
6241.0,2238,0,1,43.2141056,-77.4345478,2022-12-01,Home Performance,Single Family,Natural Gas,
3094.0,2300,0,1,42.110115,-76.032545,2022-11-01,Home Performance,Single Family,Natural Gas,
7081.0,1602,0,1,43.05118,-76.166155,2023-05-04,Home Performance,Single Family,Natural Gas,
34003.0,838,0,1,40.9630311,-72.7563979,2023-05-30,Home Performance,Mobile,Oil,
14226.0,3620,0,1,42.6587579,-73.7907121,2022-07-28,Home Performance,Single Family,Natural Gas,
2015.0,800,0,1,42.87351,-76.983615,2023-03-22,Home Performance,Mobile,Natural Gas,
6016.0,1936,0,1,42.8753602,-78.8019756,2023-06-29,Home Performance,Single Family,Natural Gas,
9125.0,1234,0,1,43.1094664,-77.7448848,2022-07-26,Home Performance,Single Family,Natural Gas,
5341.0,992,0,1,43.094675,-79.051195,2023-02-09,Home Performance,Single Family,Natural Gas,
12017.0,1120,0,1,42.67325,-73.77892,2022-07-28,Home Performance,Single Family,Natural Gas,
9426.0,1050,0,1,43.18823,-77.802505,2023-02-16,Home Performance,Single Family,Natural Gas,
3031.0,4000,0,1,43.21118,-75.458425,2022-02-01,Home Performance,Single Family,Natural Gas,
6486.0,2280,0,1,40.650265,-73.927795,2022-08-18,Home Performance,Single Family,Natural Gas,
6325.0,1036,0,1,43.10185,-74.77389,2023-05-02,Home Performance,Single Family,Natural Gas,
9526.0,1496,0,1,40.714205,-73.766845,2022-08-02,Home Performance,Single Family,Natural Gas,
7066.0,2730,0,1,40.650265,-73.927795,2022-06-09,Home Performance,Single Family,Natural Gas,
7373.0,1056,0,1,43.10182,-77.88467,2023-05-23,Home Performance,Single Family,Natural Gas,
8295.0,1450,0,1,43.18823,-77.802505,2023-06-06,Home Performance,Single Family,Natural Gas,
9168.0,2300,0,1,43.02966,-78.87383,2022-10-27,Home Performance,Single Family,Natural Gas,
3859.0,1656,0,1,40.694725,-73.73937,2022-10-25,Home Performance,Single Family,Natural Gas,
10106.0,1280,0,1,43.08505,-79.056395,2022-09-15,Home Performance,Single Family,Natural Gas,
10886.0,1376,0,1,43.165865,-77.56504,2023-06-06,Home Performance,Single Family,Natural Gas,
1251.0,1292,0,1,43.0257179,-76.1480025,2023-05-11,Home Performance,Single Family,Natural Gas,
14306.0,1728,0,1,40.660715,-73.915265,2023-05-11,Home Performance,Single Family,Natural Gas,
12968.0,1190,0,1,43.457085,-76.499485,2023-01-17,Home Performance,Single Family,Kerosene,
11277.0,1052,0,1,42.9006985,-73.5628272,2023-03-28,Home Performance,Single Family,Oil,
5900.0,1500,0,1,42.47185,-73.81409,2023-04-27,Home Performance,Single Family,Oil,
9907.0,1200,0,1,40.675365,-73.75155,2023-04-11,Home Performance,Single Family,Natural Gas,
15595.0,1216,0,1,42.239925,-75.845965,2022-02-22,Home Performance,Mobile,Kerosene,2010
5121.0,924,0,1,43.116227823,-75.129221253,2023-03-31,Home Performance,Single Family,Natural Gas,
9922.0,884,0,1,42.226205,-76.185275,2022-06-14,Home Performance,Mobile,Propane,
4465.0,1824,0,1,43.17485,-79.03758,2022-11-15,Home Performance,Single Family,Natural Gas,
10043.0,1228,0,1,43.16463,-77.64152,2022-02-08,Home Performance,Single Family,Natural Gas,
6801.0,1800,0,1,43.165865,-77.56504,2022-04-21,Home Performance,Single Family,Natural Gas,
12934.0,2108,0,1,42.389054397,-78.206817269,2023-04-20,Home Performance,Single Family,Wood,
19939.0,4000,0,1,42.973245,-77.227855,2022-11-17,Home Performance,Mobile,Natural Gas,
12804.0,3656,0,1,41.355457027,-74.12422684,2022-05-24,Home Performance,Single Family,Natural Gas,
7634.0,2736,0,1,43.325035,-76.41174,2023-06-15,Home Performance,Single Family,Natural Gas,
6765.0,3958,0,1,42.9926528,-76.1150524,2023-04-11,Home Performance,Single Family,Coal,
