Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,size_of_home_flag,Home Built Year Range,Project Cost Range,Location_1_latitude,Location_1_Longitude
2023-06-30,574992,Oneida,Rome,13440,National Grid,National Grid,2023-04-20,9570.0,Propane,,980,1,Home Performance,Mobile,Building Shell,532.0,61.0,7.5745584842024805,0,Missing,1000 - 10000,43.21118,-75.458425
2023-06-30,551348,Oneida,Verona,13478,National Grid,National Grid,2023-04-11,2928.0,Natural Gas,,2304,1,Home Performance,Single Family,Building Shell,409.0,30.0,5.924255797414532,0,Missing,1000 - 10000,43.13375,-75.58285
2023-06-30,549378,Oswego,Fulton,13069,National Grid,National Grid,2023-04-07,11631.0,Propane,,1512,1,Home Performance,Mobile,Building Shell,231.0,19.0,6.4457198193855785,0,Missing,10000 - 20000,43.325035,-76.41174
2023-06-30,548478,Orange,Middletown,10940,Orange & Rockland,Orange & Rockland,2023-03-21,19670.0,Oil,,1198,1,Home Performance,Single Family,Building Shell,1247.0,27.0,6.728628613084702,0,Missing,10000 - 20000,41.4452505,-74.419957
2023-06-30,571652,Warren,Queensbury,12804,National Grid,National Grid,2023-03-14,9616.0,Oil,,1893,1,Home Performance,Single Family,Building Shell,3729.0,20.0,6.833031732786201,0,Missing,1000 - 10000,43.33471,-73.678785
2023-06-30,523817,Fulton,Gloversville,12078,National Grid,National Grid,2023-02-28,6568.0,Kerosene,,840,1,Home Performance,Mobile,Building Shell,713.0,12.0,5.978885764901122,0,Missing,1000 - 10000,43.0529373,-74.3424296
2023-06-30,558024,Oneida,Utica,13502,National Grid,National Grid,2023-02-07,8167.0,Natural Gas,,960,1,Home Performance,Single Family,Building Shell,1076.0,21.0,5.908082938168931,0,Missing,1000 - 10000,43.1010822,-75.2472726
2023-06-30,565515,Herkimer,Newport,13416,National Grid,National Grid,2023-01-17,8864.0,Propane,,1080,1,Home Performance,Mobile,Building Shell,15.0,8.0,5.537334267018537,0,Missing,1000 - 10000,43.1886557,-75.0152971
2023-06-30,558718,Oneida,Lee,13363,National Grid,National Grid,2022-12-22,19789.0,Propane,,938,1,Home Performance,Mobile,Building Shell,-4570.0,85.0,7.6324011266014535,0,Missing,10000 - 20000,43.302289,-75.5188154
2023-06-30,561113,Livingston,Conesus,14435,Rochester Gas & Electric,National Grid,2022-12-20,5079.0,Propane,,1152,1,Home Performance,Single Family,Building Shell,0.0,14.0,6.030685260261263,0,Missing,1000 - 10000,42.7218494,-77.6728114
2023-06-30,533391,Kings,Brooklyn,11211,National Grid,Consolidated Edison,2022-12-13,6241.0,Natural Gas,,3400,1,Home Performance,Single Family,Building Shell,817.0,30.0,6.467698726104354,0,Missing,1000 - 10000,40.712345,-73.95398
2023-06-30,553084,Fulton,Mayfield,12117,National Grid,National Grid,2022-12-06,12107.0,Oil,,1496,1,Home Performance,Single Family,Building Shell,-11067.0,109.0,6.889591308354466,0,Missing,10000 - 20000,43.1081085,-74.2690485
2023-06-30,556424,Queens,Queens,11411,National Grid,Consolidated Edison,2022-11-17,10882.0,Natural Gas,,2666,2,Home Performance,Single Family,Building Shell,331.0,76.0,7.1308988302963465,0,Missing,10000 - 20000,40.694725,-73.73937
2023-06-30,561163,Franklin,Moira,12957,National Grid,National Grid,2022-10-25,9832.0,Propane,,910,1,Home Performance,Mobile,Building Shell,273.0,42.0,7.290292882446597,0,Missing,1000 - 10000,44.8206904,-74.5602555
2023-06-30,547203,Tioga,Owego,13827,New York State Electric & Gas,New York State Electric & Gas,2022-10-06,12470.0,Oil,,1540,1,Home Performance,Single Family,Building Shell,55.0,54.0,7.07326971745971,0,Missing,10000 - 20000,42.105545,-76.26612
2023-06-30,545274,Livingston,Hemlock,14466,Rochester Gas & Electric,National Grid,2022-09-27,7603.0,Propane,,3080,1,Home Performance,Single Family,Building Shell,120.0,37.0,7.182352111885263,0,Missing,1000 - 10000,42.78975,-77.5818951
2023-06-30,542747,Saratoga,Ballston Spa,12020,National Grid,National Grid,2022-09-15,9074.0,Propane,2006,924,1,Home Performance,Mobile,Building Shell,510.0,14.0,6.318968113746434,0,2000 - 2025,1000 - 10000,43.006105,-73.851605
2023-06-30,471636,Chautauqua,Clymer,14724,National Fuel Gas Distribution,National Grid,2022-06-28,7625.0,Propane,1998,845,1,Home Performance,Mobile,Building Shell,494.0,26.0,6.576469569048224,0,1950 - 2000,1000 - 10000,42.0644185,-79.7450859
2023-06-30,537826,Oneida,Boonville,13309,National Grid,National Grid,2022-06-28,8238.0,Oil,,1536,1,Home Performance,Single Family,Building Shell,689.0,49.0,6.99117688712121,0,Missing,1000 - 10000,43.48398,-75.335415
2023-06-30,537907,Kings,Brooklyn,11203,National Grid,Consolidated Edison,2022-06-23,5038.0,Natural Gas,,840,1,Home Performance,Single Family,Building Shell,0.0,20.0,5.717027701406222,0,Missing,1000 - 10000,40.650265,-73.927795
2023-06-30,544646,Queens,Queens,11435,National Grid,Consolidated Edison,2022-05-24,9994.0,Natural Gas,,2299,1,Home Performance,Single Family,Building Shell,269.0,56.0,6.51025834052315,0,Missing,1000 - 10000,40.69992,-73.80949
2023-06-30,537470,Oneida,Camden,13316,National Grid,National Grid,2022-05-17,8475.0,Oil,,1368,1,Home Performance,Single Family,Building Shell,0.0,52.0,6.9782137426306985,0,Missing,1000 - 10000,43.3367062,-75.7482485
2023-06-30,539888,Oneida,Lee Center,13363,National Grid,National Grid,2022-05-17,6981.0,Pellets,,1100,1,Home Performance,Single Family,Building Shell,510.0,35.0,6.406879986069314,0,Missing,1000 - 10000,43.302289,-75.5188154
2023-06-30,529295,Oneida,Remsen,13438,National Grid,National Grid,2022-05-12,7678.0,Propane,,1008,1,Home Performance,Mobile,Building Shell,0.0,21.0,6.434546518787453,0,Missing,1000 - 10000,43.3244276,-75.1890252
2023-06-30,523320,Oneida,Rome,13440,National Grid,National Grid,2022-04-05,6844.0,Propane,,1710,1,Home Performance,Single Family,Building Shell,301.0,25.0,6.4692503167957724,0,Missing,1000 - 10000,43.21118,-75.458425
2023-06-30,535955,Montgomery,Fort Plain,13339,National Grid,National Grid,2022-04-05,9550.0,Kerosene,,1472,1,Home Performance,Mobile,Building Shell,0.0,24.0,6.406879986069314,0,Missing,1000 - 10000,42.9297647,-74.6269854
2023-06-30,523309,Onondaga,Syracuse,13224,National Grid,National Grid,2022-03-29,5394.0,Natural Gas,,2584,1,Home Performance,Single Family,Building Shell,510.0,26.0,5.849324779946859,0,Missing,1000 - 10000,43.047035,-76.108085
2023-06-30,536657,Oneida,Rome,13440,National Grid,National Grid,2022-03-24,4069.0,Natural Gas,,2220,1,Home Performance,Single Family,Building Shell,380.0,25.0,5.7745515455444085,0,Missing,1000 - 10000,43.21118,-75.458425
2023-06-30,535340,Queens,Queens,11411,National Grid,Consolidated Edison,2022-03-08,4122.0,Natural Gas,,1152,2,Home Performance,Single Family,Building Shell,1521.0,26.0,6.6039438246004725,0,Missing,1000 - 10000,40.694725,-73.73937
2023-06-30,499634,Wayne,Wolcott,14590,Rochester Gas & Electric,Rochester Gas & Electric,2022-02-22,27591.0,Wood,1902,1608,1,Home Performance,Single Family,Building Shell,-764.0,182.0,7.399398083331354,0,1900 - 1950,90000 - 100000,43.2204905,-76.8164533
2023-06-30,505707,Oneida,Utica,13501,National Grid,National Grid,2022-02-08,6279.0,Natural Gas,,1560,1,Home Performance,Single Family,Building Shell,572.0,12.0,5.327876168789581,0,Missing,1000 - 10000,43.09528,-75.22754
2023-06-30,518381,Erie,Buffalo,14211,National Grid,National Grid,2022-01-11,10721.0,Natural Gas,,1691,1,Home Performance,Single Family,Building Shell,510.0,89.0,6.720220155135295,0,Missing,10000 - 20000,42.90832,-78.83677
2023-06-30,496776,Oneida,Boonville,13309,National Grid,National Grid,2021-12-14,9230.0,Oil,,1760,1,Home Performance,Single Family,Building Shell,1110.0,34.0,6.732210706467206,0,Missing,1000 - 10000,43.48398,-75.335415
2023-06-30,515023,Lewis,Lyons Falls,13368,New York State Electric & Gas,National Grid,2021-12-14,3908.0,Other,,1056,1,Home Performance,Single Family,Building Shell,443.0,15.0,6.45833828334479,0,Missing,1000 - 10000,43.6197333,-75.3653622
2023-06-30,487920,Orange,Chester,10918,Orange & Rockland,Orange & Rockland,2021-11-02,12780.0,Oil,,3588,1,Home Performance,Single Family,Building Shell,0.0,114.0,7.821242083523558,0,Missing,10000 - 20000,41.357035,-74.27481
2023-06-30,515639,Bronx,Bronx,10468,Consolidated Edison,Consolidated Edison,2021-10-19,3712.0,Oil,1922,2052,1,Home Performance,Single Family,Building Shell,510.0,29.0,6.663132695990803,0,1900 - 1950,1000 - 10000,40.865445,-73.90126
2023-06-30,503558,Oneida,Blossvale,13308,National Grid,National Grid,2021-10-12,7621.0,Propane,1951,1134,1,Home Performance,Single Family,Building Shell,208.0,24.0,6.565264970035361,0,1950 - 2000,1000 - 10000,43.2108091,-75.7224284
2023-06-30,504650,Oswego,Pennellville,13132,National Grid,National Grid,2021-08-26,4684.0,Oil,1966,1500,1,Home Performance,Single Family,Building Shell,1230.0,11.0,5.908082938168931,0,1950 - 2000,1000 - 10000,43.2324863,-76.2209251
2023-06-30,485190,Herkimer,Mohawk,13407,National Grid,National Grid,2021-07-13,2788.0,Oil,,1350,1,Home Performance,Single Family,Building Shell,623.0,4.0,5.003946305945459,0,Missing,1000 - 10000,43.0079193,-75.0060305
2023-06-30,501355,Erie,Buffalo,14217,National Fuel Gas Distribution,National Grid,2021-07-06,10453.0,Other,,1820,1,Home Performance,Single Family,Building Shell,0.0,64.0,6.313548046277095,0,Missing,10000 - 20000,42.96566,-78.873825
2023-06-30,494811,Saratoga,Hadley,12835,National Grid,National Grid,2021-06-21,6600.0,Propane,1984,952,1,Home Performance,Mobile,Building Shell,721.0,24.0,5.8805329864007,0,1950 - 2000,1000 - 10000,43.288235,-74.01149
2023-06-30,465613,Oneida,Lee,13471,National Grid,National Grid,2021-05-06,8783.0,Propane,1921,1736,1,Home Performance,Single Family,Building Shell,1483.0,18.0,6.150602768446279,0,1900 - 1950,1000 - 10000,43.29767,-75.61509
2023-06-30,483601,Cortland,Marathon,13803,New York State Electric & Gas,National Grid,2021-04-20,13663.0,Other,,2494,1,Home Performance,Single Family,Building Shell,0.0,55.0,6.8679744089702925,0,Missing,10000 - 20000,42.4415195,-76.0365452
2023-06-30,471421,Oneida,Clayville,13322,National Grid,National Grid,2021-03-30,5257.0,Oil,,994,1,Home Performance,Mobile,Building Shell,510.0,13.0,5.814130531825066,0,Missing,1000 - 10000,42.97894,-75.24988
2023-06-30,492686,Otsego,Mohawk,13439,National Grid,National Grid,2021-03-30,4982.0,Propane,,980,1,Home Performance,Mobile,Building Shell,400.0,6.0,5.111987788356544,0,Missing,1000 - 10000,43.01129,-75.00465
2023-06-30,462027,Erie,Lawtons,14091,National Fuel Gas Distribution,National Grid,2021-01-26,5730.0,Propane,1977,2953,1,Home Performance,Single Family,Building Shell,1291.0,11.0,6.016157159698354,0,1950 - 2000,1000 - 10000,42.53725,-78.9316132
2023-06-30,472326,Saratoga,Ballston Spa,12020,National Grid,National Grid,2021-01-19,6992.0,Propane,1991,1248,1,Home Performance,Mobile,Building Shell,443.0,22.0,6.45833828334479,0,1950 - 2000,1000 - 10000,43.006105,-73.851605
2023-06-30,470340,Oswego,Pulaski,13142,National Grid,National Grid,2020-12-01,7954.0,Propane,1981,924,1,Home Performance,Mobile,Building Shell,132.0,16.0,6.008813185442595,0,1950 - 2000,1000 - 10000,43.566945,-76.128275
2023-06-30,456154,Chenango,Norwich,13815,New York State Electric & Gas,New York State Electric & Gas,2020-12-01,2915.0,Oil,1936,1056,1,Home Performance,Single Family,Building Shell,427.0,12.0,5.645446897643238,0,1900 - 1950,1000 - 10000,42.5311852,-75.521324
2023-06-30,462780,Fulton,Dolgeville,13329,National Grid,National Grid,2020-11-03,5616.0,Oil,,1296,1,Home Performance,Single Family,Building Shell,510.0,38.0,6.569481420414296,0,Missing,1000 - 10000,43.10185,-74.77389
2023-06-30,464110,Onondaga,Syracuse,13207,National Grid,National Grid,2020-09-03,6866.0,Natural Gas,1951,972,1,Home Performance,Single Family,Building Shell,510.0,43.0,6.0112671744041615,0,1950 - 2000,1000 - 10000,43.0200289,-76.1626311
2023-06-30,468077,Cayuga,Sterling,13156,Rochester Gas & Electric,Rochester Gas & Electric,2020-08-20,4859.0,Propane,1994,924,1,Home Performance,Mobile,Building Shell,0.0,40.0,6.895682697747868,0,1950 - 2000,1000 - 10000,43.31597,-76.703585
2023-06-30,454122,Queens,Queens,11369,National Grid,Consolidated Edison,2020-03-25,5412.0,Natural Gas,1928,1248,1,Home Performance,Single Family,Building Shell,510.0,36.0,6.26530121273771,0,1900 - 1950,1000 - 10000,40.764105,-73.874425
2023-06-30,439970,Oneida,Utica,13502,National Grid,National Grid,2020-03-18,4721.0,Natural Gas,,882,1,Home Performance,Single Family,Building Shell,0.0,17.0,4.969813299576001,0,Missing,1000 - 10000,43.1010822,-75.2472726
2023-06-30,440810,Oneida,Clinton,13323,National Grid,National Grid,2020-03-03,5480.0,Natural Gas,,1774,1,Home Performance,Single Family,Building Shell,368.0,29.0,5.627621113690637,0,Missing,1000 - 10000,43.04923,-75.38455
2023-06-30,426889,Oneida,Utica,13502,National Grid,National Grid,2020-03-03,1191.0,Electric,,1556,1,Home Performance,Single Family,Building Shell,510.0,2.0,4.276666119016055,0,Missing,1000 - 10000,43.1010822,-75.2472726
2023-06-30,426191,Oswego,Oswego,13126,National Grid,National Grid,2020-02-18,1329.0,Natural Gas,1966,896,1,Home Performance,Single Family,Building Shell,510.0,6.0,4.61512051684126,0,1950 - 2000,1000 - 10000,43.457085,-76.499485
2023-06-30,445492,Tompkins,Ithaca,14850,New York State Electric & Gas,New York State Electric & Gas,2020-01-20,6640.0,Propane,,910,1,Home Performance,Mobile,Building Shell,0.0,25.0,6.683360945766275,0,Missing,1000 - 10000,42.444575,-76.5001
2023-06-30,424647,Columbia,Chatham,12037,National Grid,New York State Electric & Gas,2020-01-07,2000.0,Propane,1999,980,1,Home Performance,Mobile,Building Shell,343.0,1.0,4.189654742026425,0,1950 - 2000,1000 - 10000,42.359395,-73.599105
2023-06-30,409282,Franklin,Malone,12953,National Grid,National Grid,2019-12-06,1891.0,Oil,,1250,1,Home Performance,Single Family,Building Shell,1317.0,3.0,5.2574953720277815,0,Missing,1000 - 10000,44.850165,-74.294435
2023-06-30,439701,Oswego,Fulton,13069,National Grid,National Grid,2019-12-03,8655.0,Propane,1986,1056,1,Home Performance,Mobile,Building Shell,410.0,25.0,6.511745329644728,0,1950 - 2000,1000 - 10000,43.325035,-76.41174
2023-06-30,438153,Oswego,Oswego,13126,National Grid,National Grid,2019-11-22,9219.0,Electric,1974,1112,1,Home Performance,Mobile,Building Shell,9657.0,2.0,6.930494765951626,0,1950 - 2000,1000 - 10000,43.457085,-76.499485
2023-06-30,434939,Erie,Buffalo,14218,National Fuel Gas Distribution,National Grid,2019-11-22,5027.0,Natural Gas,1921,2340,1,Home Performance,Single Family,Building Shell,510.0,46.0,5.978885764901122,0,1900 - 1950,1000 - 10000,42.820135,-78.82654
2023-06-30,430915,Orange,Otisville,10963,Orange & Rockland,Orange & Rockland,2019-11-22,1221.0,Oil,1953,1698,1,Home Performance,Single Family,Building Shell,510.0,3.0,5.043425116919247,0,1950 - 2000,1000 - 10000,41.469245,-74.53784
2023-06-30,348158,Saratoga,Gansevoort,12831,National Grid,National Grid,2019-10-24,1156.0,Propane,1996,1064,1,Home Performance,Mobile,Building Shell,865.0,4.0,5.3706380281276624,0,1950 - 2000,1000 - 10000,43.134105,-73.76468
2023-06-30,417816,Oneida,Lee Center,13363,National Grid,National Grid,2019-10-17,6713.0,Other,,858,1,Home Performance,Mobile,Building Shell,0.0,25.0,6.230481447578482,0,Missing,1000 - 10000,43.302289,-75.5188154
2023-06-30,429974,Wayne,Macedon,14502,Rochester Gas & Electric,Rochester Gas & Electric,2019-10-07,6078.0,Propane,1984,840,1,Home Performance,Mobile,Building Shell,368.0,32.0,7.0825485693553,0,1950 - 2000,1000 - 10000,43.0644068,-77.31804
2023-06-30,413371,Oneida,Utica,13502,National Grid,National Grid,2019-10-04,12653.0,Oil,1952,1351,1,Home Performance,Single Family,Building Shell,0.0,75.0,7.187657164114956,0,1950 - 2000,10000 - 20000,43.1010822,-75.2472726
2023-06-30,392749,Columbia,Hudson,12534,National Grid,National Grid,2019-09-30,6571.0,Oil,,800,1,Home Performance,Single Family,Building Shell,568.0,57.0,6.80128303447162,0,Missing,1000 - 10000,42.251635,-73.78808
2023-06-30,428799,Onondaga,Syracuse,13205,National Grid,National Grid,2019-09-25,4834.0,Natural Gas,,1140,1,Home Performance,Single Family,Building Shell,0.0,24.0,5.278114659230517,0,Missing,1000 - 10000,43.0257179,-76.1480025
2023-06-30,420005,Oswego,Hannibal,13074,National Grid,National Grid,2019-09-09,5365.0,Propane,1977,1064,1,Home Performance,Mobile,Building Shell,0.0,11.0,5.652489180268651,0,1950 - 2000,1000 - 10000,43.31688,-76.57583
2023-06-30,416672,Oneida,Remsen,13438,National Grid,National Grid,2019-08-20,3713.0,Oil,1998,1836,1,Home Performance,Single Family,Building Shell,510.0,10.0,5.814130531825066,0,1950 - 2000,1000 - 10000,43.3244276,-75.1890252
2023-06-30,404916,Tioga,Waverly,14892,Unknown,Municipal,2019-07-11,2245.0,Natural Gas,2002,1768,1,Home Performance,Mobile,Building Shell,0.0,12.0,4.7535901911063645,0,2000 - 2025,1000 - 10000,42.0063557,-76.5395682
2023-06-30,411835,Oneida,Ava,13303,National Grid,National Grid,2019-06-28,5793.0,Oil,1971,1228,1,Home Performance,Single Family,Building Shell,301.0,35.0,6.4692503167957724,0,1950 - 2000,1000 - 10000,43.3012781,-75.4464436
2023-06-30,395114,Cortland,Truxton,13158,New York State Electric & Gas,National Grid,2019-05-31,1726.0,Propane,1951,3250,1,Home Performance,Single Family,Building Shell,853.0,2.0,5.14166355650266,0,1950 - 2000,1000 - 10000,42.71195,-76.02915
2023-06-30,376614,Warren,Athol,12810,National Grid,National Grid,2019-05-02,5752.0,Propane,,1199,1,Home Performance,Mobile,Building Shell,0.0,29.0,6.561030665896573,0,Missing,1000 - 10000,43.4831,-73.8852403
2023-06-30,397634,Oswego,Williamstown,13493,National Grid,National Grid,2019-04-29,5967.0,Propane,,980,1,Home Performance,Mobile,Building Shell,0.0,24.0,6.61338421837956,0,Missing,1000 - 10000,43.4238102,-75.8870704
2023-06-30,369796,Genesee,Elba,14058,National Fuel Gas Distribution,National Grid,2019-04-11,5761.0,Propane,,1456,1,Home Performance,Mobile,Building Shell,393.0,27.0,5.981414211254481,0,Missing,1000 - 10000,43.0803912,-78.1866858
2023-06-30,391583,Herkimer,Ilion,13357,National Grid,Municipal,2019-04-11,1346.0,Natural Gas,,1480,1,Home Performance,Single Family,Building Shell,0.0,4.0,3.58351893845611,0,Missing,1000 - 10000,43.014355,-75.043565
2023-06-30,376278,Wayne,Red Creek,13143,Rochester Gas & Electric,Rochester Gas & Electric,2019-04-01,5050.0,Propane,1987,980,1,Home Performance,Mobile,Building Shell,510.0,9.0,5.968707559985366,0,1950 - 2000,1000 - 10000,43.2455012,-76.725241
2023-06-30,375899,Oneida,Rome,13440,National Grid,National Grid,2019-03-28,4286.0,Natural Gas,1945,875,1,Home Performance,Single Family,Building Shell,1704.0,14.0,5.910796644040527,0,1900 - 1950,1000 - 10000,43.21118,-75.458425
2023-06-30,379066,Oneida,Utica,13501,National Grid,National Grid,2019-03-25,5626.0,Natural Gas,,1664,1,Home Performance,Single Family,Building Shell,0.0,46.0,6.042632833682381,0,Missing,1000 - 10000,43.09528,-75.22754
2023-06-30,387497,Oneida,Clinton,13323,National Grid,National Grid,2019-02-15,6848.0,Kerosene,1984,888,1,Home Performance,Mobile,Building Shell,410.0,39.0,6.695798917058491,0,1950 - 2000,1000 - 10000,43.04923,-75.38455
2023-06-30,366375,Oneida,Forestport,13338,National Grid,National Grid,2019-02-15,5754.0,Kerosene,1979,960,1,Home Performance,Mobile,Building Shell,343.0,19.0,6.129050210060545,0,1950 - 2000,1000 - 10000,43.43901,-75.202225
2023-06-30,374659,Oneida,Utica,13501,National Grid,National Grid,2019-02-11,5669.0,Natural Gas,1921,1364,1,Home Performance,Single Family,Building Shell,510.0,44.0,6.159095388491933,0,1900 - 1950,1000 - 10000,43.09528,-75.22754
2023-06-30,373740,Wayne,Lyons,14489,New York State Electric & Gas,New York State Electric & Gas,2019-01-28,4479.0,Propane,1988,800,1,Home Performance,Single Family,Building Shell,368.0,23.0,6.431331081933479,0,1950 - 2000,1000 - 10000,43.064965,-76.99033
2023-06-30,377022,Tompkins,Ithaca,14850,New York State Electric & Gas,New York State Electric & Gas,2018-12-03,4392.0,Propane,1997,1500,1,Home Performance,Mobile,Building Shell,410.0,19.0,6.297109319933935,0,1950 - 2000,1000 - 10000,42.444575,-76.5001
2023-06-30,374345,Queens,Queens,11435,National Grid,Consolidated Edison,2018-12-03,4628.0,Natural Gas,1961,1248,1,Home Performance,Single Family,Building Shell,443.0,27.0,6.089044875446846,0,1950 - 2000,1000 - 10000,40.69992,-73.80949
2023-06-30,372577,Oneida,Rome,13440,National Grid,National Grid,2018-11-09,6371.0,Propane,1981,840,1,Home Performance,Mobile,Building Shell,259.0,26.0,6.47543271670409,0,1950 - 2000,1000 - 10000,43.21118,-75.458425
2023-06-30,340104,Chautauqua,Ashville,14710,National Fuel Gas Distribution,National Grid,2018-09-24,5007.0,Propane,2004,1624,1,Home Performance,Mobile,Building Shell,510.0,31.0,6.687108607866515,0,2000 - 2025,1000 - 10000,42.0936427,-79.3746095
2023-06-30,352568,Cortland,Cortland,13045,New York State Electric & Gas,National Grid,2018-09-06,2457.0,Propane,1997,960,1,Home Performance,Mobile,Building Shell,343.0,17.0,6.184148890937483,0,1950 - 2000,1000 - 10000,42.600225,-76.18184
2023-06-30,360202,Orange,Monroe,10950,Orange & Rockland,Orange & Rockland,2018-08-06,5131.0,Natural Gas,1971,2000,1,Home Performance,Single Family,Building Shell,0.0,23.0,5.780743515792329,0,1950 - 2000,1000 - 10000,41.33131,-74.188885
2023-06-30,352814,Oneida,Lee Cener,13363,National Grid,National Grid,2018-07-26,5622.0,Kerosene,1985,840,1,Home Performance,Mobile,Building Shell,301.0,21.0,5.918893854273146,0,1950 - 2000,1000 - 10000,43.302289,-75.5188154
2023-06-30,349595,Oneida,Rome,13440,National Grid,National Grid,2018-06-28,7299.0,Natural Gas,1953,1716,1,Home Performance,Single Family,Building Shell,0.0,68.0,6.434546518787453,0,1950 - 2000,1000 - 10000,43.21118,-75.458425
2023-06-30,355715,Oswego,Hannibal,13074,National Grid,National Grid,2018-06-18,5681.0,Wood,1993,980,1,Home Performance,Mobile,Building Shell,0.0,42.0,6.161207321695077,0,1950 - 2000,1000 - 10000,43.31688,-76.57583
2023-06-30,341107,Oneida,Utica,13502,National Grid,National Grid,2018-05-18,2215.0,Natural Gas,1961,2399,1,Home Performance,Single Family,Building Shell,494.0,12.0,5.176149732573829,0,1950 - 2000,1000 - 10000,43.1010822,-75.2472726
2023-06-30,352253,Onondaga,Delphi,13051,National Grid,National Grid,2018-04-13,5039.0,Propane,1991,840,1,Home Performance,Mobile,Building Shell,301.0,16.0,6.194405391104672,0,1950 - 2000,1000 - 10000,42.87772,-75.913565
2023-06-30,327083,Oneida,Boonville,13309,National Grid,Municipal,2018-03-28,6835.0,Wood,,875,1,Home Performance,Single Family,Building Shell,0.0,67.0,6.411818267709897,0,Missing,1000 - 10000,43.48398,-75.335415
2023-06-30,336072,Saratoga,Rock City Falls,12863,National Grid,National Grid,2018-03-28,1016.0,Propane,,980,1,Home Performance,Mobile,Building Shell,510.0,9.0,5.4510384535657,0,Missing,1000 - 10000,43.06062,-73.9172
2023-06-30,340127,Oswego,Hannibal,13074,National Grid,National Grid,2018-02-12,5731.0,Propane,1920,1296,1,Home Performance,Single Family,Building Shell,510.0,34.0,6.863803391452954,0,1900 - 1950,1000 - 10000,43.31688,-76.57583
